35;3;C:\Users\Dalton\Documents\ECE385\NSPool\SPRITES\p1cueROTATES\poolcue180.png;105;By SachaDee -2013-
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 255 255
255 255 255
255 255 255
255 255 255
255 255 255
0 0 0
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
193 206 230
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
